# t	s_num	e_num	p_num
0 1 1 0
0.01 0.99005 1 0.00995017
0.02 0.980199 1 0.0198013
0.03 0.970446 1 0.0295545
0.04 0.960789 1 0.0392106
0.05 0.951229 1 0.0487706
0.06 0.941765 1 0.0582355
0.07 0.932394 1 0.0676062
0.08 0.923116 1 0.0768837
0.09 0.913931 1 0.0860688
0.1 0.904837 1 0.0951626
0.11 0.895834 1 0.104166
0.12 0.88692 1 0.11308
0.13 0.878095 1 0.121905
0.14 0.869358 1 0.130642
0.15 0.860708 1 0.139292
0.16 0.852144 1 0.147856
0.17 0.843665 1 0.156335
0.18 0.83527 1 0.16473
0.19 0.826959 1 0.173041
0.2 0.818731 1 0.181269
0.21 0.810584 1 0.189416
0.22 0.802519 1 0.197481
0.23 0.794534 1 0.205466
0.24 0.786628 1 0.213372
0.25 0.778801 1 0.221199
0.26 0.771052 1 0.228948
0.27 0.763379 1 0.236621
0.28 0.755784 1 0.244216
0.29 0.748264 1 0.251736
0.3 0.740818 1 0.259182
0.31 0.733447 1 0.266553
0.32 0.726149 1 0.273851
0.33 0.718924 1 0.281076
0.34 0.71177 1 0.28823
0.35 0.704688 1 0.295312
0.36 0.697676 1 0.302324
0.37 0.690734 1 0.309266
0.38 0.683861 1 0.316139
0.39 0.677057 1 0.322943
0.4 0.67032 1 0.32968
0.41 0.66365 1 0.33635
0.42 0.657047 1 0.342953
0.43 0.650509 1 0.349491
0.44 0.644036 1 0.355964
0.45 0.637628 1 0.362372
0.46 0.631284 1 0.368716
0.47 0.625002 1 0.374998
0.48 0.618783 1 0.381217
0.49 0.612626 1 0.387374
0.5 0.606531 1.00247 0.395942
0.51 0.600436 1.0174 0.41696
0.52 0.594313 1.03252 0.438211
0.53 0.588163 1.04786 0.459697
0.54 0.581987 1.06341 0.481421
0.55 0.575786 1.07917 0.503386
0.56 0.56956 1.09515 0.525594
0.57 0.563311 1.11136 0.548047
0.58 0.55704 1.12779 0.570748
0.59 0.550747 1.14445 0.5937
0.6 0.544434 1.16134 0.616905
0.61 0.538102 1.17847 0.640366
0.62 0.531752 1.19584 0.664086
0.63 0.525385 1.21345 0.688068
0.64 0.519002 1.23132 0.712314
0.65 0.512604 1.24943 0.736827
0.66 0.506193 1.2678 0.761611
0.67 0.499769 1.28644 0.786667
0.68 0.493335 1.30533 0.811999
0.69 0.48689 1.3245 0.837611
0.7 0.480437 1.34394 0.863505
0.71 0.473977 1.36366 0.889683
0.72 0.467511 1.38366 0.91615
0.73 0.46104 1.40395 0.942909
0.74 0.454566 1.42453 0.969962
0.75 0.44809 1.4454 0.997313
0.76 0.441613 1.46658 1.02497
0.77 0.435137 1.48806 1.05292
0.78 0.428663 1.50985 1.08119
0.79 0.422193 1.53196 1.10976
0.8 0.415728 1.55438 1.13866
0.81 0.40927 1.57714 1.16787
0.82 0.402819 1.60022 1.1974
0.83 0.396378 1.62363 1.22726
0.84 0.389948 1.64739 1.25744
0.85 0.383531 1.6715 1.28796
0.86 0.377127 1.69595 1.31882
0.87 0.370739 1.72076 1.35002
0.88 0.364369 1.74593 1.38157
0.89 0.358017 1.77147 1.41346
0.9 0.351685 1.79739 1.4457
0.91 0.345375 1.82368 1.4783
0.92 0.339088 1.85036 1.51127
0.93 0.332827 1.87742 1.5446
0.94 0.326592 1.90489 1.57829
0.95 0.320385 1.93275 1.61237
0.96 0.314208 1.96102 1.64682
0.97 0.308062 1.98971 1.68165
0.98 0.301949 2.01882 1.71687
0.99 0.295871 2.04835 1.75248
1 0.289829 2.07832 1.78849
1.01 0.283824 2.10872 1.8249
1.02 0.277859 2.13957 1.86171
1.03 0.271935 2.17087 1.89894
1.04 0.266053 2.20263 1.93658
1.05 0.260215 2.23485 1.97464
1.06 0.254423 2.26755 2.01312
1.07 0.248677 2.30072 2.05204
1.08 0.24298 2.33438 2.0914
1.09 0.237334 2.36852 2.13119
1.1 0.231738 2.40317 2.17143
1.11 0.226196 2.43832 2.21213
1.12 0.220708 2.47399 2.25328
1.13 0.215276 2.51017 2.29489
1.14 0.209901 2.54688 2.33697
1.15 0.204584 2.58412 2.37953
1.16 0.199328 2.6219 2.42257
1.17 0.194133 2.66023 2.4661
1.18 0.189 2.69911 2.51011
1.19 0.18393 2.73856 2.55463
1.2 0.178926 2.77857 2.59965
1.21 0.173988 2.81917 2.64518
1.22 0.169116 2.86034 2.69123
1.23 0.164313 2.90211 2.7378
1.24 0.15958 2.94448 2.7849
1.25 0.154916 2.98746 2.83254
1.26 0.150324 3.03105 2.88073
1.27 0.145804 3.07527 2.92946
1.28 0.141356 3.12011 2.97876
1.29 0.136983 3.1656 3.02862
1.3 0.132684 3.21173 3.07905
1.31 0.12846 3.25852 3.13006
1.32 0.124312 3.30597 3.18165
1.33 0.120241 3.35409 3.23385
1.34 0.116246 3.40289 3.28664
1.35 0.11233 3.45237 3.34004
1.36 0.108491 3.50255 3.39406
1.37 0.10473 3.55344 3.44871
1.38 0.101048 3.60504 3.50399
1.39 0.0974443 3.65736 3.55991
1.4 0.0939199 3.71041 3.61649
1.41 0.0904747 3.76419 3.67372
