# t	TI	TM	I	u
0 1 1 1 0.5
0.01 0.999599 1.00007 1.01234 0.4995
0.02 0.999196 1.00014 1.02477 0.499001
0.03 0.998792 1.00021 1.03729 0.498502
0.04 0.998385 1.00028 1.0499 0.498004
0.05 0.997977 1.00034 1.0626 0.497506
0.06 0.997567 1.0004 1.0754 0.497009
0.07 0.997154 1.00046 1.08829 0.496512
0.08 0.99674 1.00051 1.10127 0.496016
0.09 0.996324 1.00056 1.11435 0.49552
0.1 0.995906 1.0006 1.12752 0.495025
0.11 0.995486 1.00065 1.14079 0.49453
0.12 0.995064 1.00069 1.15416 0.494036
0.13 0.99464 1.00073 1.16762 0.493542
0.14 0.994214 1.00076 1.18118 0.493049
0.15 0.993786 1.00079 1.19484 0.492556
0.16 0.993355 1.00082 1.20859 0.492064
0.17 0.992923 1.00085 1.22245 0.491572
0.18 0.992488 1.00087 1.23641 0.491081
0.19 0.992052 1.00089 1.25047 0.49059
0.2 0.991613 1.0009 1.26463 0.490099
0.21 0.991172 1.00091 1.2789 0.489609
0.22 0.990729 1.00092 1.29327 0.48912
0.23 0.990284 1.00093 1.30774 0.488631
0.24 0.989836 1.00093 1.32232 0.488143
0.25 0.989386 1.00093 1.337 0.487655
0.26 0.988934 1.00092 1.35179 0.487168
0.27 0.98848 1.00092 1.36669 0.486681
0.28 0.988023 1.0009 1.38169 0.486194
0.29 0.987565 1.00089 1.39681 0.485708
0.3 0.987103 1.00087 1.41203 0.485223
0.31 0.98664 1.00085 1.42737 0.484738
0.32 0.986174 1.00082 1.44281 0.484253
0.33 0.985705 1.00079 1.45837 0.483769
0.34 0.985235 1.00076 1.47404 0.483286
0.35 0.984761 1.00073 1.48982 0.482803
0.36 0.984286 1.00069 1.50572 0.48232
0.37 0.983808 1.00064 1.52173 0.481838
0.38 0.983327 1.0006 1.53786 0.481356
0.39 0.982844 1.00055 1.5541 0.480875
0.4 0.982358 1.00049 1.57047 0.480395
0.41 0.98187 1.00043 1.58695 0.479915
0.42 0.981379 1.00037 1.60355 0.479435
0.43 0.980886 1.00031 1.62027 0.478956
0.44 0.98039 1.00024 1.63711 0.478477
0.45 0.979892 1.00017 1.65407 0.477999
0.46 0.97939 1.00009 1.67116 0.477521
0.47 0.978887 1.00001 1.68836 0.477044
0.48 0.97838 0.999924 1.7057 0.476567
0.49 0.977871 0.999836 1.72315 0.476091
0.5 0.977273 0.99983 1.74074 0.475615
0.51 0.976236 1.00026 1.75845 0.475139
0.52 0.975187 1.00069 1.77628 0.474664
0.53 0.974126 1.00112 1.79425 0.47419
0.54 0.973053 1.00157 1.81235 0.473716
0.55 0.971968 1.00202 1.83057 0.473243
0.56 0.97087 1.00247 1.84893 0.47277
0.57 0.96976 1.00293 1.86742 0.472297
0.58 0.968638 1.0034 1.88604 0.471825
0.59 0.967504 1.00387 1.9048 0.471353
0.6 0.966358 1.00434 1.92369 0.470882
0.61 0.965199 1.00483 1.94272 0.470412
0.62 0.964028 1.00531 1.96189 0.469941
0.63 0.962845 1.0058 1.98119 0.469472
0.64 0.96165 1.0063 2.00063 0.469002
0.65 0.960443 1.0068 2.02021 0.468534
0.66 0.959224 1.00731 2.03993 0.468065
0.67 0.957992 1.00782 2.0598 0.467598
0.68 0.956749 1.00834 2.0798 0.46713
0.69 0.955493 1.00886 2.09995 0.466663
0.7 0.954225 1.00939 2.12025 0.466197
0.71 0.952945 1.00992 2.14069 0.465731
0.72 0.951653 1.01046 2.16128 0.465265
0.73 0.950349 1.011 2.18201 0.4648
0.74 0.949033 1.01155 2.20289 0.464336
0.75 0.947704 1.0121 2.22393 0.463872
0.76 0.946364 1.01266 2.24511 0.463408
0.77 0.945012 1.01322 2.26644 0.462945
0.78 0.943647 1.01378 2.28793 0.462482
0.79 0.942271 1.01435 2.30957 0.46202
0.8 0.940882 1.01493 2.33137 0.461558
0.81 0.939482 1.0155 2.35332 0.461097
0.82 0.938069 1.01609 2.37543 0.460636
0.83 0.936644 1.01667 2.3977 0.460176
0.84 0.935208 1.01726 2.42012 0.459716
0.85 0.933759 1.01786 2.44271 0.459256
0.86 0.932299 1.01846 2.46545 0.458797
0.87 0.930826 1.01906 2.48836 0.458339
0.88 0.929342 1.01966 2.51144 0.45788
0.89 0.927846 1.02027 2.53467 0.457423
0.9 0.926337 1.02089 2.55807 0.456966
0.91 0.924817 1.02151 2.58164 0.456509
0.92 0.923285 1.02213 2.60538 0.456053
0.93 0.921741 1.02275 2.62929 0.455597
0.94 0.920185 1.02338 2.65336 0.455141
0.95 0.918617 1.02401 2.67761 0.454686
0.96 0.917038 1.02465 2.70203 0.454232
0.97 0.915446 1.02529 2.72662 0.453778
0.98 0.913843 1.02593 2.75139 0.453324
0.99 0.912228 1.02658 2.77633 0.452871
1 0.910601 1.02722 2.80145 0.452419
1.01 0.908962 1.02788 2.82675 0.451967
1.02 0.907311 1.02853 2.85223 0.451515
1.03 0.905649 1.02919 2.87789 0.451063
1.04 0.903975 1.02985 2.90373 0.450613
1.05 0.902289 1.03051 2.92975 0.450162
1.06 0.900591 1.03118 2.95596 0.449712
1.07 0.898882 1.03185 2.98235 0.449263
1.08 0.897161 1.03252 3.00893 0.448814
1.09 0.895428 1.03319 3.0357 0.448365
1.1 0.893684 1.03387 3.06266 0.447917
1.11 0.891928 1.03455 3.0898 0.447469
1.12 0.89016 1.03523 3.11714 0.447022
1.13 0.88838 1.03592 3.14467 0.446575
1.14 0.886589 1.0366 3.1724 0.446129
1.15 0.884787 1.03729 3.20032 0.445683
1.16 0.882972 1.03798 3.22843 0.445238
1.17 0.881146 1.03868 3.25675 0.444793
1.18 0.879309 1.03937 3.28526 0.444348
1.19 0.87746 1.04007 3.31398 0.443904
1.2 0.8756 1.04076 3.34289 0.44346
1.21 0.873728 1.04147 3.37201 0.443017
1.22 0.871844 1.04217 3.40133 0.442574
1.23 0.869949 1.04287 3.43086 0.442132
1.24 0.868043 1.04358 3.4606 0.44169
1.25 0.866125 1.04428 3.49054 0.441248
1.26 0.864195 1.04499 3.5207 0.440807
1.27 0.862255 1.0457 3.55106 0.440367
1.28 0.860302 1.04641 3.58164 0.439927
1.29 0.858339 1.04712 3.61243 0.439487
1.3 0.856364 1.04783 3.64344 0.439048
1.31 0.854378 1.04855 3.67466 0.438609
1.32 0.85238 1.04926 3.7061 0.43817
1.33 0.850371 1.04998 3.73776 0.437733
1.34 0.848351 1.05069 3.76964 0.437295
